NORAD_ID	bol	mission_start_date	stop_ops_date	demise_date
000000001	10/4/1957	10/4/1957	12/1/1957	12/1/1957
000000004	2/1/1958	2/1/1958	3/31/1970	3/31/1970
000000007	5/15/1958	5/15/1958	12/3/1958	12/3/1958
000000008	5/15/1958	5/15/1958	4/6/1960	4/6/1960
000000009	7/26/1958	7/26/1958	10/23/1959	10/23/1959
000000010	12/18/1958	12/18/1958	1/21/1959	1/21/1959
000000013	2/28/1959	2/28/1959	3/3/1959	3/3/1959
000000014	4/13/1959	4/13/1959	4/26/1959	4/26/1959
000000015	8/7/1959	8/7/1959	6/30/1961	6/30/1961
000000017	8/7/1959	8/7/1959	6/30/1961	6/30/1961
000000018	8/13/1959	8/13/1959	9/28/1959	9/28/1959
000000019	8/19/1959	8/19/1959	10/20/1959	10/20/1959
000000021	10/4/1959	10/4/1959	4/20/1960	4/20/1960
000000024	11/7/1959	11/7/1959	11/26/1959	11/26/1959
000000025	11/20/1959	11/20/1959	3/8/1960	3/8/1960
000000026	8/13/1959	8/13/1959	2/11/1961	2/11/1961
000000030	4/13/1960	4/13/1960	8/18/1961	8/18/1961
000000031	4/13/1960	4/13/1960	10/5/1967	10/5/1967
000000032	4/15/1960	4/15/1960	4/26/1960	4/26/1960
000000033	4/13/1960	4/13/1960	7/17/1960	7/17/1960
000000034	5/15/1960	5/15/1960	9/5/1962	9/5/1962
000000035	5/15/1960	5/15/1960	7/17/1960	7/17/1960
000000036	5/15/1960	5/15/1960	10/15/1965	10/15/1965
000000037	5/15/1960	5/15/1960	6/30/1961	6/30/1961
000000038	5/15/1960	5/15/1960	8/20/1960	8/20/1960
000000039	5/15/1960	5/15/1960	9/24/1960	9/24/1960
000000040	5/15/1960	5/15/1960	9/24/1960	9/24/1960
000000041	5/15/1960	5/15/1960	9/30/1960	9/30/1960
000000042	5/15/1960	5/15/1960	10/1/1960	10/1/1960
000000043	5/24/1960	5/24/1960	2/7/1974	2/7/1974
000000044	5/24/1960	5/24/1960	12/5/1960	12/5/1960
000000048	8/10/1960	8/10/1960	11/14/1960	11/14/1960
000000049	8/12/1960	8/12/1960	5/24/1968	5/24/1968
000000054	8/18/1960	8/18/1960	9/16/1960	9/16/1960
000000055	8/19/1960	8/19/1960	8/20/1960	8/20/1960
000000056	8/19/1960	8/19/1960	9/23/1960	9/23/1960
000000057	9/13/1960	9/13/1960	10/18/1960	10/18/1960
000000061	11/12/1960	11/12/1960	12/29/1960	12/29/1960
000000065	12/1/1960	12/1/1960	12/2/1960	12/2/1960
000000066	12/1/1960	12/1/1960	12/2/1960	12/2/1960
000000067	12/7/1960	12/7/1960	4/2/1961	4/2/1961
000000068	12/20/1960	12/20/1960	1/23/1961	1/23/1961
000000069	11/3/1960	11/3/1960	2/16/1970	2/16/1970
000000070	1/31/1961	1/31/1961	10/21/1973	10/21/1973
000000071	2/4/1961	2/4/1961	2/26/1961	2/26/1961
000000072	2/4/1961	2/4/1961	2/13/1961	2/13/1961
000000073	2/4/1961	2/4/1961	3/17/1961	3/17/1961
000000076	2/12/1961	2/12/1961	2/18/1961	2/18/1961
000000077	2/12/1961	2/12/1961	2/25/1961	2/25/1961
000000078	2/12/1961	2/12/1961	2/18/1961	2/18/1961
000000079	1/31/1961	1/31/1961	10/9/1970	10/9/1970
000000081	2/16/1961	2/16/1961	4/9/1964	4/9/1964
000000083	2/17/1961	2/17/1961	7/28/1962	7/28/1962
000000084	2/18/1961	2/18/1961	4/20/1962	4/20/1962
000000087	2/22/1961	2/22/1961	3/30/1961	3/30/1961
000000088	2/17/1961	2/17/1961	4/2/1961	4/2/1961
000000089	2/17/1961	2/17/1961	4/20/1961	4/20/1961
000000090	2/17/1961	2/17/1961	10/31/1961	10/31/1961
000000091	3/9/1961	3/9/1961	3/9/1961	3/9/1961
